index,Artist,Url_spotify,Track,Album,Album_type,Uri,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Stream,upload_date,dias_na_plataforma,spotify_upload
949,Armin van Buuren,https://open.spotify.com/artist/0SfsnGyD8FpIN4U4WCkBZ5,One More Time,"Feel Again, Pt. 2",album,spotify:track:1UktZnwuS1reRmRtli8QS9,0.579,0.764,0.0,-5.55,0.0512,0.0995,0.00174,0.273,0.289,126.162,148095.0,18025225.0,2022-07-22 20:40:10,199,2022-10-21
950,Armin van Buuren,https://open.spotify.com/artist/0SfsnGyD8FpIN4U4WCkBZ5,Love We Lost (with R3HAB),"Feel Again, Pt. 1",album,spotify:track:3ADl2kvyEaYmL2jMrHgIot,0.651,0.783,0.0,-6.162,0.0501,0.045,0.0,0.0628,0.311,119.995,136000.0,24846749.0,2022-03-11 14:00:26,332,2022-06-10
952,Armin van Buuren,https://open.spotify.com/artist/0SfsnGyD8FpIN4U4WCkBZ5,Come Around Again,"Feel Again, Pt. 1",album,spotify:track:5pr0RW6itk3yEfJHkg4DIF,0.589,0.912,9.0,-3.878,0.0766,0.0366,0.0,0.0752,0.426,123.946,169108.0,21656243.0,2022-04-09 11:00:12,303,2022-06-10
955,Juicy J,https://open.spotify.com/artist/5gCRApTajqwbnHHPbr2Fpi,Be Careful (feat. Finesse2Tymes),Crypto Business,album,spotify:track:02VPrNnUuEsNmyM73FQKiy,0.91,0.726,11.0,-4.939,0.323,0.0527,0.0,0.0675,0.823,126.045,178800.0,1705262.0,2022-11-15 05:00:01,83,2022-11-15
969,Julieta Venegas,https://open.spotify.com/artist/2QWIScpFDNxmS6ZEMIUvgm,Mismo Amor,Tu Historia,album,spotify:track:6X3cE3eveZi7VGpvZyNxZy,0.883,0.674,10.0,-4.036,0.0316,0.0184,1.14e-05,0.0971,0.943,107.94,198559.0,9329066.0,2022-03-18 18:00:11,325,2022-11-11
981,Wham!,https://open.spotify.com/artist/5lpH0xAS4fVfLkACg9DAuM,Club Tropicana,Fantastic,album,spotify:track:6tASfEUyB7lE2r6DLzURji,0.658,0.714,11.0,-9.247,0.0519,0.0294,5.7e-05,0.651,0.806,117.283,265600.0,96143748.0,2022-09-16 14:00:11,143,1983-07-09
999,Bryan Adams,https://open.spotify.com/artist/3Z02hBLubJxuFJfhacLSDc,Have You Ever Really Loved A Woman?,18 Til I Die,album,spotify:track:32Gf5A7Hr8RdgggXG0Fdks,0.57,0.478,7.0,-10.185,0.0322,0.536,1.33e-05,0.0931,0.358,145.517,291667.0,147671714.0,2022-09-16 13:49:25,143,1996-06-04
1002,Bryan Adams,https://open.spotify.com/artist/3Z02hBLubJxuFJfhacLSDc,Straight From The Heart,Cuts Like A Knife,album,spotify:track:5eaK7PLGwyDXmHfTdWZZuE,0.587,0.237,0.0,-18.466,0.0272,0.0766,0.0,0.139,0.366,84.764,211933.0,81040633.0,2022-04-01 09:47:25,311,1983-01-18
1003,Bryan Adams,https://open.spotify.com/artist/3Z02hBLubJxuFJfhacLSDc,Christmas Time,Christmas EP,single,spotify:track:7LoFMtL7hxP9tr5HYyyUrJ,0.503,0.582,0.0,-4.324,0.0253,0.472,0.0,0.103,0.326,77.321,243057.0,95183001.0,2022-09-27 03:38:52,132,2019-11-15
1016,Nelly Furtado,https://open.spotify.com/artist/2jw70GZXlAI8QzWeY2bgRc,Say It Right - Sped Up Remix,Say It Right (Sped Up Remix),single,spotify:track:3iWOZkQNDekZQqkiJqqeGy,0.849,0.941,8.0,-6.448,0.223,0.0269,0.00717,0.0596,0.765,134.479,194160.0,27146617.0,2022-03-24 10:08:17,319,2022-03-25
1028,Ricky Martin,https://open.spotify.com/artist/7slfeZO9LsJbWgpkIoXBUJ,A Veces Bien Y A Veces Mal,A Veces Bien Y A Veces Mal,single,spotify:track:21DZByorOzBJ0a0mikH8ri,0.648,0.521,1.0,-10.436,0.323,0.43,0.0,0.0841,0.217,76.973,145783.0,17627274.0,2022-04-14 22:00:26,298,2022-04-14
1030,Ricky Martin,https://open.spotify.com/artist/7slfeZO9LsJbWgpkIoXBUJ,Otra Noche en L.A.,Otra Noche en L.A.,single,spotify:track:1LH8gbxJsh9PmHozgPdWGu,0.781,0.59,7.0,-6.475,0.305,0.589,0.0,0.107,0.53,83.978,211475.0,22140871.0,2022-01-27 23:00:09,375,2022-01-27
1034,Jennifer Lopez,https://open.spotify.com/artist/2DlGxzQSjYe5N6G9nkYghR,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,Jenny From The Block - The Remixes,album,spotify:track:0jiBVBJkLrlGLgrIVmd3VK,0.84,0.762,6.0,-5.454,0.226,0.00736,3.77e-06,0.0615,0.946,99.987,189765.0,279835559.0,2022-11-11 08:00:14,87,2002-09-26
1040,Sido,https://open.spotify.com/artist/4Yttlv9ndGjCDCVLqM7ACq,Spät nach Haus,Spät nach Haus,single,spotify:track:7lkYdyKCN44Lc5saKwIGhP,0.849,0.449,1.0,-8.39,0.291,0.341,0.0,0.106,0.602,84.463,150899.0,8107411.0,2023-01-05 23:00:10,32,2023-01-06
1041,Sido,https://open.spotify.com/artist/4Yttlv9ndGjCDCVLqM7ACq,Follow,Für den Himmel durch die Hölle,album,spotify:track:1DTVCRW8QPPteXXhBlohM2,0.719,0.628,8.0,-6.269,0.211,0.0733,2.41e-06,0.119,0.472,139.957,145013.0,47603924.0,2022-07-07 22:00:11,214,2022-08-25
