index,Artist,Url_spotify,Track,Album,Album_type,Uri,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Stream,upload_date,dias_na_plataforma,spotify_upload
3389,Maluma,https://open.spotify.com/artist/1r4hJ1h58CWwUQe3MxPuau,Mojando Asientos (feat. Feid),The Love & Sex Tape,album,spotify:track:6lV9cTvioGWqRXSgfjAUGL,0.773,0.767,7.0,-4.019,0.0819,0.0352,0.0,0.299,0.49,94.99,252162.0,121000075.0,2022-03-24 23:00:11,319,2022-06-10
3392,Maluma,https://open.spotify.com/artist/1r4hJ1h58CWwUQe3MxPuau,Nos Comemos Vivos,The Love & Sex Tape,album,spotify:track:0bI5WRiDfU5BY38ufOJtGu,0.822,0.719,10.0,-3.633,0.0576,0.165,2.48e-05,0.174,0.659,82.01,225366.0,110569290.0,2022-06-10 03:55:00,241,2022-06-10
3394,Feid,https://open.spotify.com/artist/2LRoIwlKmHjgvigdNGBHNo,Hey Mor,OzuTochi,album,spotify:track:1zsPaEkglFvxjAhrM8yhpr,0.901,0.589,1.0,-6.713,0.289,0.00302,0.000237,0.0992,0.399,98.002,196600.0,286106284.0,2022-10-13 21:00:08,116,2022-10-07
3395,Feid,https://open.spotify.com/artist/2LRoIwlKmHjgvigdNGBHNo,Yandel 150,Resistencia,album,spotify:track:4FAKtPVycI4DxoOHC01YqD,0.783,0.729,6.0,-3.549,0.0691,0.0492,0.000272,0.1,0.58,167.968,216148.0,80157400.0,2022-12-20 22:00:09,48,2023-01-13
3396,Feid,https://open.spotify.com/artist/2LRoIwlKmHjgvigdNGBHNo,CHORRITO PA LAS ANIMAS,SIXDO,single,spotify:track:0CYTGMBYkwUxrj1MWDLrC5,0.743,0.831,8.0,-4.042,0.0584,0.114,6.43e-05,0.35,0.609,95.975,168133.0,71448886.0,2022-12-02 00:00:28,66,2022-12-02
3397,Feid,https://open.spotify.com/artist/2LRoIwlKmHjgvigdNGBHNo,LA INOCENTE,MICRODOSIS,album,spotify:track:5jt25aFjW2kNoBqaEVaz5W,0.757,0.789,5.0,-3.46,0.0583,0.307,0.0,0.0717,0.464,91.911,202174.0,287850992.0,2022-05-20 02:00:09,262,2022-04-01
3398,Feid,https://open.spotify.com/artist/2LRoIwlKmHjgvigdNGBHNo,Feliz Cumpleaños Ferxxo,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,album,spotify:track:2CeKVsFFXG4QzA415QygGb,0.865,0.573,5.0,-5.501,0.0678,0.0863,0.0,0.305,0.563,94.999,155960.0,287512221.0,2022-08-19 00:00:25,171,2022-09-14
3399,Feid,https://open.spotify.com/artist/2LRoIwlKmHjgvigdNGBHNo,En La De Ella,En La De Ella,single,spotify:track:5NxhMcHSVY3Z7ykWxZf3aj,0.816,0.77,1.0,-5.477,0.0538,0.0798,0.0,0.118,0.671,96.99,230653.0,80241846.0,2022-10-21 00:00:08,108,2022-10-21
3400,Feid,https://open.spotify.com/artist/2LRoIwlKmHjgvigdNGBHNo,Normal,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,album,spotify:track:0T2pB7P1VdXPhLdQZ488uH,0.709,0.56,4.0,-4.867,0.171,0.034,0.0,0.315,0.541,170.082,171880.0,228262848.0,2022-07-08 00:00:09,213,2022-09-14
3401,Feid,https://open.spotify.com/artist/2LRoIwlKmHjgvigdNGBHNo,ULTRA SOLO REMIX,ULTRA SOLO REMIX,single,spotify:track:6wtZPYBIXUvCpXwVjMCJBf,0.909,0.824,1.0,-4.627,0.0797,0.0777,0.00387,0.0638,0.585,109.97,322347.0,215026398.0,2022-06-16 23:00:13,235,2022-06-16
